Carla,Judy Reyes
Doug,Johnny Kastl
Dr. Cox,John C. McGinley
Dr. Kelso,Ken Jenkins
Dr. Wen,Charles Rahi Chun
Elliot,Sarah Chalke
J.D.,Zach Braff
Janitor,Neil Flynn
Male Nurse,"unknown"
Man Doctor #1,Jon Braver
Man Doctor #2,"unknown"
Mike,Michael McDonald
Mrs. Kellerman,Jill Basey
Mrs. Warner,Maree Cheatham
Nurse #1,"unknown"
Nurse #2,"unknown"
Nurse Roberts,Aloma Wright
Singer,"unknown"
Singer #2,"unknown"
Singer #3,"unknown"
Todd,Robert Maschio
Turk,Donald Faison
Guy With Perm,Douglas Sutherland
Woman Doctor #1,"unknown"
