2.60,9.92,J.D.,"Mr. Hogan, I can't stress enough how much you got to avoid the red meat. The cirrhosis of your liver is preventing it from filtering out all the toxins, and"
9.98,13.95,J.D.,"if those get to your brain, you become encephalopathic, leading to a mental status change."
14.59,17.10,Mr. Hogan,"So what, am I going to start acting all crazy or something?"
17.10,19.11,J.D.,You'll need a tinfoil hat to hold in all your thoughts.
19.55,21.99,Mr. Hogan,"Then I can still have a tiny little bite of my wife's carne asada, right?"
22.70,22.93,J.D.,Well...
23.72,26.93,J.D.,The greatest thing about Carla is I always know I can count on her to be the bad cop.
28.23,29.88,Carla,What part of no meat don't you understand?
30.14,30.92,Carla,I just thought that I'll...
31.52,31.81,J.D.,Carla?
33.17,36.31,Carla,"So, if you don't listen to Dr. Dorian, you're gonna have to answer to me."
36.98,38.43,Mr. Hogan,"Okay, Ix-nay on the eat-may."
38.45,38.93,Carla,That's right.
39.35,40.13,J.D.,We're a team.
42.14,42.75,Carla,What?
43.28,44.45,J.D.,Eat-may sounds like eat-me.
46.17,48.20,J.D.,"Of course, on some teams, there's gonna be friction."
48.78,49.32,Dr. Wen,All right.
49.79,50.37,Dr. Wen,We're done here.
51.99,52.66,Dr. Wen,"Bonnie, you close?"
53.16,53.51,Turk,Damn.
54.25,55.40,Bonnie,"Aw, don't be mad."
55.40,58.47,Bonnie,Just be the good little beeyotch you are and wipe the sweat off my forehead.
58.83,61.02,Turk,"Look, don't say biatch. You can't pull it off."
61.50,65.15,Turk,"Which is interesting, being that you're the queen mother of all."
65.51,68.00,Bonnie,"Dr. Wen, my forehead's feeling a little misty."
68.86,70.71,Dr. Wen,"Dr. Turk, are your hands broken?"
71.21,71.64,Turk,No.
73.71,74.15,Turk,Here you go.
75.07,76.46,Bonnie,"Mmm, that's nice."
77.92,78.29,Bonnie,Biatch.
81.03,83.98,J.D.,"And some teams, well, they never really seem to get together."
84.52,86.46,Elliot,"Dr. Cox, I'm so glad I caught you. We need"
85.77,88.67,Dr. Cox,"And there it is again, that ringing in my ears."
88.73,91.26,Dr. Cox,"It's kind of an ah, but it's more piercing."
91.26,94.44,Dr. Cox,"It's more of an ee, ee, ee, ee."
94.44,95.32,J.D.,She's trying to ask you a question.
95.78,100.32,Dr. Cox,"Now, Hugh, you're more of a low-pitched ooga, ooga, ooga."
100.34,102.27,Dr. Cox,"It's more masculine, which, quite frankly,"
102.27,105.06,Dr. Cox,"is surprising considering the source, but make no mistake,"
105.32,107.25,Dr. Cox,"oh, just equally annoying."
107.26,108.02,Dr. Cox,"Luckily, though,"
108.85,110.72,Dr. Cox,I know how to make the pain go away.
112.52,114.22,Dr. Cox,"Ah, much better."
114.75,115.89,Elliot,Can you believe that?
115.88,117.09,Elliot,"I mean, every time we even try to talk to him,"
117.09,118.81,Elliot,he starts going off on all these random dances and monologues.
118.84,123.28,Dr. Cox,"Hee, hee, hee, hee, hee."
121.69,122.38,Elliot,You know?
123.29,124.00,Elliot,You know?
124.64,126.06,J.D.,"Clearly, we're on the same page."
126.78,127.65,Elliot,We're residents now.
127.69,129.08,Elliot,"We should be treated more like colleagues,"
129.16,131.03,Elliot,and I can't even get him to notice me.
132.97,133.35,Elliot,"Oh, God!"
134.40,134.91,Elliot,Oh!
135.60,136.66,Elliot,"Sorry, sorry, sorry."
143.71,144.41,Dr. Cox,Okay.
151.94,153.38,J.D.,Maybe if you wore your hair up.
156.26,159.52,Singer,I can't do this all on my own
159.53,160.28,Singer,"No, I know."
160.99,162.36,Singer,I'm no superman.
165.78,167.50,Singer,I'm no superman.
172.03,172.63,Janitor,What's up.
173.72,174.97,J.D.,Be careful here.
175.83,177.46,J.D.,"Don't give him, anything."
